경기날짜,팀1 이름,팀2 이름,팀1 점수,팀2 점수,팀1 투수,팀2 투수
20090519,LG,KIA,0,6,봉중근,곽정철
20090520,키움,한화,7,6,신철인,토마스
20090520,SK,삼성,10,0,송은범,차우찬
20090520,롯데,두산,11,6,장원준,김상현
20090520,LG,KIA,2,4,최원호,양현종
20090521,SK,삼성,9,4,카도쿠라,배영수
20090521,LG,KIA,13,13,,
20090522,키움,KIA,8,3,이현승,이대진
20090522,두산,SK,4,2,임태훈,채병용
20090522,롯데,삼성,3,4,애킨스,오승환
20090522,한화,LG,4,10,김혁민,심수창
20090523,키움,KIA,13,4,장원삼,정성철
20090523,두산,SK,2,1,정재훈,전병두
20090523,롯데,삼성,5,8,이정훈,차우찬
20090523,한화,LG,6,5,양훈,오상민
20090524,롯데,삼성,7,4,조정훈,안지만
20090524,키움,KIA,1,8,마일영,구톰슨
20090524,두산,SK,5,2,임태훈,고효준
20090524,한화,LG,1,1,,
20090526,키움,두산,5,4,이보근,고창성
20090526,삼성,한화,3,2,권혁,토마스
20090526,LG,롯데,0,6,김광수,장원준
20090526,KIA,SK,2,3,양현종,윤길현
20090527,키움,두산,7,2,이현승,김선우
20090527,삼성,한화,3,8,배영수,안영명
20090527,LG,롯데,5,6,바우어,이용훈
20090527,KIA,SK,5,2,로페즈,니코스키
20090528,키움,두산,4,0,장원삼,정재훈
20090528,삼성,한화,11,1,크루세타,김혁민
20090528,LG,롯데,13,3,심수창,김일엽
20090528,KIA,SK,1,7,곽정철,김광현
20090529,SK,삼성,4,5,이승호,정현욱
20090529,두산,한화,3,1,홍상삼,류현진
20090529,롯데,키움,5,7,애킨스,이보근
20090529,KIA,LG,12,5,윤석민,봉중근
20090530,SK,삼성,3,8,박현준,정현욱
20090530,두산,한화,8,7,금민철,정민철
20090530,롯데,키움,8,10,조정훈,이보근
20090530,KIA,LG,5,1,임준혁,박명환
20090531,SK,삼성,6,5,송은범,에르난데스
20090531,두산,한화,2,0,김상현,유원상
20090531,롯데,키움,3,7,장원준,김성현
20090531,KIA,LG,7,5,유동훈,우규민
20090602,키움,삼성,2,9,이현승,차우찬
20090602,두산,KIA,9,3,임태훈,진민호
20090602,롯데,SK,2,3,이용훈,김광현
20090602,한화,LG,11,10,안영명,바우어
20090603,키움,삼성,2,10,장원삼,크루세타
20090603,두산,KIA,2,5,정재훈,로페즈
20090603,롯데,SK,1,2,나승현,전병두
20090603,한화,LG,11,10,김혁민,심수창
20090604,키움,삼성,5,6,황두성,오승환
20090604,두산,KIA,5,4,임태훈,손영민
20090604,롯데,SK,9,4,송승준,고효준
20090604,한화,LG,4,0,류현진,봉중근
20090605,삼성,KIA,1,3,배영수,곽정철
20090605,SK,한화,3,4,카도쿠라,유원상
20090605,롯데,두산,7,8,나승현,고창성
20090605,LG,키움,8,7,이재영,이보근
20090606,삼성,KIA,1,2,에르난데스,구톰슨
20090606,SK,한화,14,5,송은범,정민철
20090606,롯데,두산,8,0,장원준,세데뇨
